Player_ID,Name,Team,Captain,Keeper,Overseas,Role,Batting Style,Bowling Style,Nationality,DOB
1,MS Dhoni,CSK,Y,Y,N,Wicketkeeper Batter,Right-handed,Right-arm Medium,Indian,07/07/1981
2,Devon Conway,CSK,N,N,Y,WK-Batsman,Left-handed,Right-arm Medium,South African,08/07/1991
3,Ruturaj Gaikwad,CSK,N,N,N,Batter,Right-handed,NA,Indian,31/01/1997
4,Subhranshu Senapati,CSK,N,N,N,Batter,Left-handed,Right-arm Medium,Indian,30/12/1996
5,Ambati Rayudu,CSK,N,N,N,Wicketkeeper Batter,Right-handed,Right-arm Off-spin,Indian,23/09/1985
6,Ravindra Jadeja,CSK,N,N,N,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,06/12/1988
7,Dwaine Pretorius,CSK,N,N,Y,Bowling Allrounder,Left-handed,Right-arm Fast-medium,South African,29/03/1989
8,Mitchell Santner,CSK,N,N,Y,Bowling all-rounder,Left-handed,Left-arm Orthodox,New Zealander,05/02/1992
9,K Bhagath Varma,CSK,N,N,N,All-rounder,Right-handed,Right-arm Offbreak,Indian,21/09/1998
10,Moeen Ali,CSK,N,N,Y,Batting all-rounder,Left-handed,Right-arm Offbreak,English,18/06/1987
11,Rajvardhan Hangargekar,CSK,N,N,N,Bowler,Right-handed,Right Arm Medium,Indian,10/11/2002
12,Shivam Dube,CSK,N,N,N,All-rounder,Left-handed,Medium Seam,Indian,26/06/1993
13,Deepak Chahar,CSK,N,N,N,Bowler,Right-handed,Right-arm Medium,Indian,07/08/1992
14,Maheesh Theekshana,CSK,N,N,Y,Bowler,Right-handed,Right Arm Off Break Medium,Sri Lankan,01/08/2000
15,Mukesh Choudhary,CSK,N,N,N,Bowler,Left-handed,Left Arm Medium,Indian,06/07/1996
16,Prashant Solanki,CSK,N,N,N,Bowler,Right-handed,Legbreak,Indian,15/10/1992
17,Simarjeet Singh,CSK,N,N,N,Bowler,Right-handed,Right-arm Fast-medium,Indian,17/01/1998
18,Ajinkya Rahane,CSK,N,N,N,Batter,Right-handed,Right-arm Medium,Indian,06/06/1988
19,Tushar Deshpande,CSK,N,N,N,Bowler,Left-handed,Right Arm Medium,Indian,15/05/1995
20,Ben Stokes,CSK,N,N,Y,All-rounder,Left-handed,Right Arm Fast Medium,English,04/06/1991
21,Matheesha Pathirana,CSK,N,N,Y,Bowler,Right-handed,Right-arm Medium,Sri Lankan,18/12/2002
